population,deltafitness
aInnXY-LHm,-0.023633099
aInnXY-LHm,-0.019934428
aInnXY-LHm,-0.008069171
aInnXY-LHm,0.065787343
aInnXY-LHm,0.022354473
aInnXY-LHm,-0.051445999
aInnXY-LHm,0.00404106
aInnXY-LHm,0.074200093
aInnXY-LHm,-0.052146884
aInnXY-LHm,-0.028978018
aInnXY-LHm,0.019859952
aInnXY-LHm,-0.048432625
aInnXY-LHm,0.014460889
aInnXY-LHm,0.05368996
aInnXY-LHm,-0.092509438
aInnXY-LHm,-0.05174164
aInnXY-LHm,-0.009093349
aInnXY-LHm,-0.125823561
aInnXY-LHm,0.007175928
aInnXY-LHm,-0.143468897
aInnXY-LHm,-0.100207763
aInnXY-LHm,-0.13687339
aInnXY-LHm,-0.0177228
aInnXY-LHm,-0.266759352
aInnXY-LHm,-0.083120412
aInnXY-LHm,-0.015978693
aInnXY-LHm,-0.218752884
aInnXY-LHm,-0.226497459
aInnXY-LHm,-0.063826659
aInnXY-LHm,-0.021330136
aInnXY-LHm,-0.100610452
aInnXY-LHm,-0.030914027
aInnXY-LHm,-0.186413341
aInnXY-LHm,0.037931431
aInnXY-LHm,-0.068791667
aInnXY-LHm,-0.008281361
aInnXY-LHm,0.029251948
aInnXY-LHm,-0.304232738
aInnXY-LHm,0.111949124
aInnXY-LHm,0.16565535
aInnXY-LHm,0.065972825
aInnXY-LHm,-0.124237221
aInnXY-LHm,-0.129971664
aInnXY-LHm,-0.104053226
aInnXY-LHm,0.017317682
aInnXY-LHm,0.060104016
aInnXY-LHm,0.004232275
aInnXY-LHm,-0.032970702
aInnXY-LHm,0.089977319
aInnXY-LHm,-0.256537605
aInnXY-LHm,-0.035058522
aInnXY-LHm,0.069740666
aInnXY-LHm,0.111079515
aInnXY-LHm,-0.060009665
aInnXY-LHm,0.040226776
aInnXY-LHm,-0.156443562
aInnXY-LHm,-0.170470941
aInnXY-LHm,-0.119370446
aInnXY-LHm,-0.003533829
aInnXY-LHm,-0.131490384
aInnXY-LHm,-0.19182569
aInnXY-LHm,-0.007839018
aInnXY-LHm,-0.167497699
aInnXY-LHm,-0.103129626
aInnXY-LHm,-0.128760176
aInnXY-LHm,0.017009006
aInnXY-LHm,-0.154894518
aInnXY-LHm,0.101702801
aInnXY-LHm,-0.087021576
aInnXY-LHm,0.004585041
aInnXY-LHm,-0.05714544
aInnXY-LHm,-0.00967989
aInnXY-LHm,-0.255454528
aInnXY-LHm,-0.241224511
aInnXY-LHm,-0.123045809
aInnXY-LHm,-0.106221922
aInnXY-LHm,-0.15246744
aInnXY-LHm,-0.002475608
aInnXY-LHm,-0.057891701
aInnXY-LHm,-0.108978975
aInnXY-LHm,-0.005829946
aInnXY-LHm,-0.066472802
aInnXY-LHm,-0.132158998
aInnXY-LHm,0.067554831
aInnXY-LHm,-0.022829917
aInnXY-LHm,0.045043183
aInnXY-LHm,-0.164422654
aInnXY-LHm,-0.168020931
aInnXY-LHm,-0.147762436
aInnXY-LHm,-0.203855497
aInnXY-LHm,-0.061960059
aInnXY-LHm,-0.073913768
aInnXY-LHm,0.144003597
aInnXY-LHm,0.025143247
aInnXY-LHm,0.023070753
aInnXY-LHm,0.088776012
aInnXY-LHm,0.081360913
aInnXY-LHm,0.039147242
aInnXY-LHm,-0.254545506
aInnXY-LHm,0.035427939
aInnXY-LHm,-0.1808114
aInnXY-LHm,-0.019062987
aInnXY-LHm,-0.204311762
aInnXY-LHm,0.003676124
aInnXY-LHm,-0.083516058
aInnXY-LHm,0.2323166
aInnXY-LHm,-0.009569425
aInnXY-LHm,-0.094302301
aInnXY-LHm,0.053611565
aInnXY-LHm,-0.15541655
aInnXY-LHm,-0.044251362
aInnXY-LHm,0.1473759
aInnXY-LHm,0.037907862
aInnXY-LHm,-0.079858689
aInnXY-LHm,0.016769709
aInnXY-LHm,-0.024572797
aInnXY-LHm,-0.235569869
aInnXY-LHm,-0.136816951
aInnXY-LHm,-0.097563679
aInnXY-LHm,0.079215537
aInnXY-LHm,-0.241086307
aInnXY-LHm,-0.058844971
aInnXY-LHm,-0.130436346
aInnXY-LHm,-0.127508408
aInnXY-LHm,-0.050716454
aInnXY-LHm,-0.046076655
aInnXY-LHm,-0.015942129
aInnXY-LHm,-0.124314679
aInnXY-LHm,-0.07557922
aInnXY-LHm,0.053103172
aInnXY-LHm,-0.096509227
aInnXY-LHm,-0.098581944
aInnXY-LHm,0.031399947
aInnXY-LHm,0.091831889
aInnXY-LHm,-0.003832547
aInnXY-LHm,-0.085347918
aInnXY-LHm,-0.067052665
aInnXY-LHm,-0.060035435
aInnXY-LHm,0.104600002
aInnXY-LHm,0.08217327
aInnXY-LHm,-0.062183723
aInnXY-LHm,-0.035521463
aInnXY-LHm,-0.211663703
aInnXY-LHm,-0.042089698
aInnXY-LHm,-0.055908929
aInnXY-LHm,-0.129401927
aInnXY-LHm,-0.112698134
aInnXY-LHm,-0.136518711
aInnXY-LHm,-0.036946337
aInnXY-LHm,-0.053851902
aInnXY-LHm,-0.188466867
aInnXY-LHm,0.07855975
aInnXY-LHm,-0.186572576
aInnXY-LHm,0.036706363
aInnXY-LHm,-0.148122293
aInnXY-LHm,-0.041624706
aInnXY-LHm,-0.210165356
aInnXY-LHm,-0.184660351
aInnXY-LHm,-0.096164998
aInnXY-LHm,-0.024339689
aInnXY-LHm,0.084483841
aInnXY-LHm,-0.100020225
aInnXY-LHm,-0.065027084
aInnXY-LHm,-0.154691128
aInnXY-LHm,-0.197875973
aInnXY-LHm,-0.104953745
aInnXY-LHm,-0.021448865
aInnXY-LHm,0.067602561
aInnXY-LHm,-0.082838941
aInnXY-LHm,-0.001901275
aInnXY-LHm,-0.04634977
aInnXY-LHm,-0.105603538
aInnXY-LHm,0.05175772
aInnXY-LHm,-0.042589553
aInnXY-LHm,-0.083582505
aInnXY-LHm,0.013752495
aInnXY-LHm,0.044320288
aInnXY-LHm,-0.081611301
aInnXY-LHm,-0.138857376
aInnXY-LHm,-0.002424708
aInnXY-LHm,-0.067274529
aInnXY-LHm,-0.132988423
