population,deltaProp_male
aLHmX-Inn,-0.031268348
aLHmX-Inn,-0.022360538
aLHmX-Inn,-0.02975075
aLHmX-Inn,-0.037201114
aLHmX-Inn,-0.031876085
aLHmX-Inn,-0.013088484
aLHmX-Inn,-0.001204545
aLHmX-Inn,0.005642863
aLHmX-Inn,-0.018138105
aLHmX-Inn,-0.003616318
aLHmX-Inn,-0.029965038
aLHmX-Inn,-0.039994847
aLHmX-Inn,-0.016367535
aLHmX-Inn,-0.022309081
aLHmX-Inn,-0.023343025
aLHmX-Inn,-0.008425976
aLHmX-Inn,0.001613112
aLHmX-Inn,-0.010704081
aLHmX-Inn,0.003253207
aLHmX-Inn,-0.053074056
aLHmX-Inn,-0.01311049
aLHmX-Inn,-0.015998067
aLHmX-Inn,-0.005829317
aLHmX-Inn,-0.013039884
aLHmX-Inn,-0.033108805
aLHmX-Inn,-0.05418314
aLHmX-Inn,-0.037827516
aLHmX-Inn,-0.066501327
aLHmX-Inn,-0.017364468
aLHmX-Inn,-0.019371476
aLHmX-Inn,-0.04289598
aLHmX-Inn,-0.037687298
aLHmX-Inn,-0.009177876
aLHmX-Inn,-0.014371259
aLHmX-Inn,-0.022345706
aLHmX-Inn,-0.00355643
aLHmX-Inn,0.000435864
aLHmX-Inn,-0.038235264
aLHmX-Inn,-0.044149337
aLHmX-Inn,-0.04086949
aLHmX-Inn,0.002901918
aLHmX-Inn,-0.002678348
aLHmX-Inn,-0.002542392
aLHmX-Inn,-0.002729574
aLHmX-Inn,0.011113163
aLHmX-Inn,-0.038019327
aLHmX-Inn,-0.02754022
aLHmX-Inn,-0.006835909
aLHmX-Inn,0.013656493
aLHmX-Inn,-0.028108774
aLHmX-Inn,-0.035824803
aLHmX-Inn,-0.067144627
aLHmX-Inn,-0.050134744
aLHmX-Inn,-0.008730206
aLHmX-Inn,-0.015793397
aLHmX-Inn,-0.022518471
aLHmX-Inn,-0.01724406
aLHmX-Inn,-0.033418013
aLHmX-Inn,-0.027305343
aLHmX-Inn,-0.014001948
aLHmX-Inn,-0.02750952
aLHmX-Inn,0.002556754
aLHmX-Inn,0.009574555
aLHmX-Inn,-0.004437468
aLHmX-Inn,-0.030653862
aLHmX-Inn,-0.014579968
aLHmX-Inn,-0.017067495
aLHmX-Inn,-0.000406032
aLHmX-Inn,-0.018997395
aLHmX-Inn,-0.002056869
aLHmX-Inn,-0.004715109
aLHmX-Inn,-0.004641522
aLHmX-Inn,-0.009929007
aLHmX-Inn,-0.048546216
aLHmX-Inn,-0.004836328
aLHmX-Inn,-0.022528558
aLHmX-Inn,-0.036610024
aLHmX-Inn,-0.021929525
aLHmX-Inn,-0.027856721
aLHmX-Inn,-0.032303725
aLHmX-Inn,0.009290899
aLHmX-Inn,-0.029588697
aLHmX-Inn,-0.011864058
aLHmX-Inn,-0.046788735
aLHmX-Inn,-0.053997939
aLHmX-Inn,-0.050314295
aLHmX-Inn,-0.013460548
aLHmX-Inn,-0.024934354
aLHmX-Inn,-0.021405907
aLHmX-Inn,-0.025577948
aLHmX-Inn,-0.024801987
aLHmX-Inn,-0.014948825
aLHmX-Inn,-0.015779833
aLHmX-Inn,-0.042897239
aLHmX-Inn,-0.017807702
aLHmX-Inn,0.001536674
aLHmX-Inn,-0.019128545
aLHmX-Inn,-0.016614922
aLHmX-Inn,-0.014765558
aLHmX-Inn,-0.022937781
aLHmX-Inn,-0.01035934
aLHmX-Inn,-0.049487643
aLHmX-Inn,-0.00823554
aLHmX-Inn,-0.024034327
aLHmX-Inn,-0.005967011
aLHmX-Inn,-0.000989518
aLHmX-Inn,-0.02867571
aLHmX-Inn,-0.029835574
aLHmX-Inn,-0.026734114
aLHmX-Inn,-0.020421869
aLHmX-Inn,-0.020900335
aLHmX-Inn,-0.035591625
aLHmX-Inn,-0.004565891
aLHmX-Inn,-0.006453202
aLHmX-Inn,-0.034276457
aLHmX-Inn,-0.023154273
aLHmX-Inn,-0.012208875
aLHmX-Inn,-0.032370832
aLHmX-Inn,-0.007614094
aLHmX-Inn,-0.014672008
aLHmX-Inn,-0.017531033
aLHmX-Inn,0.021112499
aLHmX-Inn,-0.010272757
aLHmX-Inn,-0.024412484
aLHmX-Inn,-0.002036706
aLHmX-Inn,-0.013825678
aLHmX-Inn,-0.016134025
aLHmX-Inn,-0.004849028
aLHmX-Inn,-0.03013007
aLHmX-Inn,-0.019571769
aLHmX-Inn,-0.037863952
aLHmX-Inn,-0.010622561
aLHmX-Inn,-0.036698623
aLHmX-Inn,-0.01369803
aLHmX-Inn,-0.027359782
aLHmX-Inn,-0.025309463
aLHmX-Inn,-0.036622683
aLHmX-Inn,0.000942316
aLHmX-Inn,-0.030439954
aLHmX-Inn,-0.03102664
aLHmX-Inn,-0.029470043
aLHmX-Inn,-0.011637355
aLHmX-Inn,-0.042600236
aLHmX-Inn,-0.010149387
aLHmX-Inn,-0.038973668
aLHmX-Inn,-0.03826966
aLHmX-Inn,-0.020424701
aLHmX-Inn,-0.034790725
aLHmX-Inn,-0.017544554
aLHmX-Inn,-0.053052762
aLHmX-Inn,-0.016290572
aLHmX-Inn,0.020797819
aLHmX-Inn,0.005308896
aLHmX-Inn,-0.036029167
aLHmX-Inn,-0.033854403
aLHmX-Inn,0.004748299
aLHmX-Inn,-0.01251271
aLHmX-Inn,-0.010051812
aLHmX-Inn,-0.048791593
aLHmX-Inn,-0.027758981
aLHmX-Inn,-0.017196782
aLHmX-Inn,-0.062340503
aLHmX-Inn,-0.023538278
aLHmX-Inn,-0.040599765
aLHmX-Inn,-0.03354525
aLHmX-Inn,0.000740491
aLHmX-Inn,-0.03097756
aLHmX-Inn,-0.012066337
aLHmX-Inn,-0.030308914
aLHmX-Inn,-0.025378518
aLHmX-Inn,-0.010188616
aLHmX-Inn,-0.0052913
aLHmX-Inn,-0.028584442
aLHmX-Inn,-0.043718072
aLHmX-Inn,-0.039015672
aLHmX-Inn,0.005213258
aLHmX-Inn,-0.032829072
aLHmX-Inn,-0.020043748
aLHmX-Inn,-0.020593251
aLHmX-Inn,-0.018213431
aLHmX-Inn,-0.028929646
aLHmX-Inn,-0.028617422
aLHmX-Inn,-0.034689681
