population,deltaprop_red
aLHmX-Inn,0.10770888
aLHmX-Inn,0.121338715
aLHmX-Inn,0.015725773
aLHmX-Inn,0.06432124
aLHmX-Inn,0.048644712
aLHmX-Inn,0.00623321
aLHmX-Inn,0.105964171
aLHmX-Inn,0.065504303
aLHmX-Inn,0.146120753
aLHmX-Inn,0.063156202
aLHmX-Inn,0.087083246
aLHmX-Inn,0.118719343
aLHmX-Inn,0.165517649
aLHmX-Inn,0.086128245
aLHmX-Inn,0.044179813
aLHmX-Inn,0.102501435
aLHmX-Inn,0.137581503
aLHmX-Inn,0.039184888
aLHmX-Inn,0.089147201
aLHmX-Inn,0.051813276
aLHmX-Inn,0.162433408
aLHmX-Inn,0.138414263
aLHmX-Inn,0.004580295
aLHmX-Inn,0.126312008
aLHmX-Inn,0.050407702
aLHmX-Inn,0.052141714
aLHmX-Inn,0.14051009
aLHmX-Inn,0.051010512
aLHmX-Inn,0.067497316
aLHmX-Inn,0.076772315
aLHmX-Inn,0.067023297
aLHmX-Inn,0.166656245
aLHmX-Inn,-0.003256198
aLHmX-Inn,0.036231335
aLHmX-Inn,0.117991626
aLHmX-Inn,0.13966865
aLHmX-Inn,0.112577813
aLHmX-Inn,0.081478471
aLHmX-Inn,0.005748822
aLHmX-Inn,0.043795969
aLHmX-Inn,0.05014799
aLHmX-Inn,0.082264397
aLHmX-Inn,0.045271405
aLHmX-Inn,0.056948885
aLHmX-Inn,0.095614463
aLHmX-Inn,0.078621573
aLHmX-Inn,0.175312318
aLHmX-Inn,0.078212199
aLHmX-Inn,0.012482359
aLHmX-Inn,0.066205079
aLHmX-Inn,0.146079347
aLHmX-Inn,0.060975247
aLHmX-Inn,0.01983999
aLHmX-Inn,0.037410887
aLHmX-Inn,0.046575506
aLHmX-Inn,0.143105322
aLHmX-Inn,0.061598655
aLHmX-Inn,0.110829915
aLHmX-Inn,0.074923334
aLHmX-Inn,0.089844431
aLHmX-Inn,0.090761064
aLHmX-Inn,0.144999643
aLHmX-Inn,0.126161814
aLHmX-Inn,0.130284663
aLHmX-Inn,0.085760741
aLHmX-Inn,0.132159682
aLHmX-Inn,0.037114923
aLHmX-Inn,0.164058038
aLHmX-Inn,0.12844749
aLHmX-Inn,0.06829056
aLHmX-Inn,0.035190977
aLHmX-Inn,0.093337512
aLHmX-Inn,0.012051064
aLHmX-Inn,0.094423834
aLHmX-Inn,0.089780983
aLHmX-Inn,0.109756543
aLHmX-Inn,0.088423664
aLHmX-Inn,0.115478544
aLHmX-Inn,0.146158046
aLHmX-Inn,0.047259576
aLHmX-Inn,0.040436569
aLHmX-Inn,0.147817766
aLHmX-Inn,0.055023369
aLHmX-Inn,0.085306813
aLHmX-Inn,0.085278871
aLHmX-Inn,0.05688162
aLHmX-Inn,0.139972477
aLHmX-Inn,0.069172386
aLHmX-Inn,0.023971913
aLHmX-Inn,0.121992882
aLHmX-Inn,0.083191619
aLHmX-Inn,0.095517117
aLHmX-Inn,0.081402389
aLHmX-Inn,-0.034676777
aLHmX-Inn,0.064684914
aLHmX-Inn,0.106976991
aLHmX-Inn,0.10925175
aLHmX-Inn,0.192485822
aLHmX-Inn,0.142632204
aLHmX-Inn,0.029731117
aLHmX-Inn,0.107469169
aLHmX-Inn,0.213950878
aLHmX-Inn,0.123497468
aLHmX-Inn,0.045977439
aLHmX-Inn,0.133432309
aLHmX-Inn,0.116464567
aLHmX-Inn,0.13173508
aLHmX-Inn,0.096890955
aLHmX-Inn,0.144613971
aLHmX-Inn,0.04265202
aLHmX-Inn,0.049341685
aLHmX-Inn,0.043396237
