population,treatment,block,vial,red,total
wTas-Dy,cnovelY,A,7,40,418
wTas-Dy,cnovelY,B,1,62,504
wTas-Dy,cnovelY,B,2,88,456
wTas-Dy,cnovelY,B,3,120,407
wTas-Dy,cnovelY,B,4,121,448
wTas-Dy,cnovelY,B,5,68,418
wTas-Dy,cnovelY,B,6,217,499
wTas-Dy,cnovelY,B,7,71,623
xTas-Lx,bnovelX,A,1,90,398
xTas-Lx,bnovelX,A,2,57,423
xTas-Lx,bnovelX,A,3,103,371
xTas-Lx,bnovelX,A,4,123,312
xTas-Lx,bnovelX,A,5,106,395
xTas-Lx,bnovelX,A,6,118,499
xTas-Lx,bnovelX,A,7,101,380
xTas-Lx,bnovelX,B,1,139,499
xTas-Lx,bnovelX,B,2,101,502
xTas-Lx,bnovelX,B,3,85,460
xTas-Lx,bnovelX,B,4,80,416
xTas-Lx,bnovelX,B,5,47,479
xTas-Lx,bnovelX,B,6,138,410
xTas-Lx,bnovelX,B,7,96,442
yTas-Ly,cnovelY,A,1,101,569
yTas-Ly,cnovelY,A,2,103,453
yTas-Ly,cnovelY,A,3,140,437
yTas-Ly,cnovelY,A,4,NA,NA
yTas-Ly,cnovelY,A,5,NA,NA
yTas-Ly,cnovelY,A,6,NA,NA
yTas-Ly,cnovelY,A,7,NA,NA
yTas-Ly,cnovelY,B,1,138,437
yTas-Ly,cnovelY,B,2,27,528
yTas-Ly,cnovelY,B,3,109,445
yTas-Ly,cnovelY,B,4,112,453
yTas-Ly,cnovelY,B,5,71,419
yTas-Ly,cnovelY,B,6,27,345
yTas-Ly,cnovelY,B,7,77,526
