population,treatment,male,size_mm
hInn-Ly,cnovelY,15,0.746031746
hInn-Ly,cnovelY,16,0.793650794
hInn-Ly,cnovelY,17,0.746031746
hInn-Ly,cnovelY,18,0.793650794
hInn-Ly,cnovelY,19,0.793650794
hInn-Ly,cnovelY,20,0.793650794
hInn-Ly,cnovelY,21,0.825396825
hInn-Ly,cnovelY,22,0.793650794
hInn-Ly,cnovelY,23,0.634920635
hInn-Ly,cnovelY,24,0.793650794
hInn-Ly,cnovelY,25,0.825396825
hInn-Ly,cnovelY,26,0.793650794
hInn-Ly,cnovelY,27,0.793650794
hInn-Ly,cnovelY,28,0.793650794
hInn-Ly,cnovelY,29,0.793650794
hInn-Ly,cnovelY,30,0.793650794
hInn-Ly,cnovelY,31,0.714285714
hInn-Ly,cnovelY,32,0.793650794
hInn-Ly,cnovelY,33,0.793650794
hInn-Ly,cnovelY,34,0.793650794
hInn-Ly,cnovelY,35,0.793650794
hInn-Ly,cnovelY,36,0.793650794
hInn-Ly,cnovelY,37,0.793650794
hInn-Ly,cnovelY,38,0.746031746
hInn-Ly,cnovelY,39,0.761904762
hInn-Ly,cnovelY,40,0.793650794
hInn-Ly,cnovelY,41,0.714285714
hInn-Ly,cnovelY,42,0.825396825
hInn-Ly,cnovelY,43,0.793650794
hInn-Ly,cnovelY,44,0.793650794
hInn-Ly,cnovelY,45,0.793650794
hInn-Ly,cnovelY,46,0.793650794
hInn-Ly,cnovelY,47,0.793650794
iInn-Ox,bnovelX,1,0.793650794
iInn-Ox,bnovelX,2,0.793650794
iInn-Ox,bnovelX,3,0.793650794
iInn-Ox,bnovelX,4,0.793650794
iInn-Ox,bnovelX,5,0.793650794
iInn-Ox,bnovelX,6,0.793650794
iInn-Ox,bnovelX,7,0.793650794
iInn-Ox,bnovelX,8,0.793650794
iInn-Ox,bnovelX,9,0.793650794
iInn-Ox,bnovelX,10,0.793650794
iInn-Ox,bnovelX,11,0.793650794
iInn-Ox,bnovelX,12,0.793650794
iInn-Ox,bnovelX,13,0.793650794
iInn-Ox,bnovelX,14,0.793650794
iInn-Ox,bnovelX,15,0.793650794
iInn-Ox,bnovelX,16,0.793650794
iInn-Ox,bnovelX,17,0.793650794
iInn-Ox,bnovelX,18,0.80952381
iInn-Ox,bnovelX,19,0.777777778
iInn-Ox,bnovelX,20,0.793650794
iInn-Ox,bnovelX,21,0.761904762
iInn-Ox,bnovelX,22,0.746031746
iInn-Ox,bnovelX,23,0.714285714
iInn-Ox,bnovelX,24,0.714285714
iInn-Ox,bnovelX,25,0.793650794
iInn-Ox,bnovelX,26,0.793650794
iInn-Ox,bnovelX,27,0.793650794
iInn-Ox,bnovelX,28,0.793650794
iInn-Ox,bnovelX,29,0.714285714
iInn-Ox,bnovelX,30,0.793650794
iInn-Ox,bnovelX,31,0.793650794
iInn-Ox,bnovelX,32,0.793650794
iInn-Ox,bnovelX,33,0.793650794
iInn-Ox,bnovelX,34,0.793650794
iInn-Ox,bnovelX,35,0.793650794
iInn-Ox,bnovelX,36,0.793650794
iInn-Ox,bnovelX,37,0.793650794
iInn-Ox,bnovelX,38,0.793650794
iInn-Ox,bnovelX,39,0.80952381
iInn-Ox,bnovelX,40,0.714285714
iInn-Ox,bnovelX,41,0.793650794
iInn-Ox,bnovelX,42,0.793650794
iInn-Ox,bnovelX,43,0.793650794
iInn-Ox,bnovelX,44,0.793650794
iInn-Ox,bnovelX,45,0.793650794
iInn-Ox,bnovelX,46,0.793650794
iInn-Ox,bnovelX,47,0.793650794
jInn-Oy,cnovelY,1,0.793650794
jInn-Oy,cnovelY,2,0.793650794
jInn-Oy,cnovelY,3,0.793650794
jInn-Oy,cnovelY,4,0.825396825
jInn-Oy,cnovelY,5,0.793650794
jInn-Oy,cnovelY,6,0.793650794
jInn-Oy,cnovelY,7,0.793650794
jInn-Oy,cnovelY,8,0.793650794
jInn-Oy,cnovelY,9,0.793650794
jInn-Oy,cnovelY,10,0.793650794
jInn-Oy,cnovelY,11,0.714285714
jInn-Oy,cnovelY,12,0.793650794
jInn-Oy,cnovelY,13,0.825396825
jInn-Oy,cnovelY,14,0.793650794
jInn-Oy,cnovelY,15,0.793650794
jInn-Oy,cnovelY,16,0.80952381
jInn-Oy,cnovelY,17,0.793650794
jInn-Oy,cnovelY,18,0.825396825
jInn-Oy,cnovelY,19,0.80952381
jInn-Oy,cnovelY,20,0.793650794
jInn-Oy,cnovelY,21,0.793650794
jInn-Oy,cnovelY,22,0.793650794
jInn-Oy,cnovelY,23,0.793650794
jInn-Oy,cnovelY,24,0.793650794
jInn-Oy,cnovelY,25,0.714285714
jInn-Oy,cnovelY,26,0.793650794
jInn-Oy,cnovelY,27,0.793650794
jInn-Oy,cnovelY,28,0.825396825
jInn-Oy,cnovelY,29,0.793650794
jInn-Oy,cnovelY,30,0.793650794
jInn-Oy,cnovelY,31,0.793650794
jInn-Oy,cnovelY,32,0.793650794
jInn-Oy,cnovelY,33,0.793650794
jInn-Oy,cnovelY,34,0.793650794
jInn-Oy,cnovelY,35,0.793650794
jInn-Oy,cnovelY,36,0.793650794
jInn-Oy,cnovelY,37,0.793650794
jInn-Oy,cnovelY,38,0.793650794
jInn-Oy,cnovelY,39,0.793650794
jInn-Oy,cnovelY,40,0.793650794
jInn-Oy,cnovelY,41,0.793650794
jInn-Oy,cnovelY,42,0.793650794
jInn-Oy,cnovelY,43,0.793650794
jInn-Oy,cnovelY,44,0.793650794
jInn-Oy,cnovelY,45,0.825396825
jInn-Oy,cnovelY,46,0.793650794
jInn-Oy,cnovelY,47,0.793650794
jInn-Oy,cnovelY,48,0.793650794
kOdder,awt,1,0.873015873
kOdder,awt,2,0.873015873
kOdder,awt,3,0.793650794
kOdder,awt,4,0.873015873
kOdder,awt,5,0.857142857
kOdder,awt,6,0.793650794
kOdder,awt,7,0.857142857
kOdder,awt,8,0.793650794
kOdder,awt,9,0.80952381
kOdder,awt,10,0.793650794
kOdder,awt,11,0.873015873
kOdder,awt,12,0.857142857
kOdder,awt,13,0.793650794
kOdder,awt,14,0.714285714
kOdder,awt,15,0.873015873
kOdder,awt,16,0.793650794
kOdder,awt,17,0.793650794
kOdder,awt,18,0.793650794
kOdder,awt,19,0.873015873
kOdder,awt,20,0.793650794
kOdder,awt,21,0.793650794
kOdder,awt,22,0.80952381
kOdder,awt,23,0.825396825
kOdder,awt,24,0.841269841
kOdder,awt,25,0.793650794
kOdder,awt,26,0.793650794
kOdder,awt,27,0.793650794
kOdder,awt,28,0.793650794
kOdder,awt,29,0.793650794
kOdder,awt,30,0.873015873
kOdder,awt,31,0.761904762
kOdder,awt,32,0.841269841
kOdder,awt,33,0.793650794
kOdder,awt,34,0.793650794
kOdder,awt,35,0.793650794
kOdder,awt,36,0.825396825
kOdder,awt,37,0.793650794
kOdder,awt,38,0.793650794
kOdder,awt,39,0.825396825
kOdder,awt,40,0.793650794
kOdder,awt,41,0.793650794
kOdder,awt,42,0.793650794
kOdder,awt,43,0.746031746
kOdder,awt,44,0.793650794
kOdder,awt,45,0.793650794
kOdder,awt,46,0.793650794
kOdder,awt,47,0.793650794
kOdder,awt,48,0.873015873
kOdder,awt,49,0.825396825
kOdder,awt,50,0.841269841
lOdd-Ix,bnovelX,1,0.873015873
lOdd-Ix,bnovelX,2,0.841269841
lOdd-Ix,bnovelX,3,0.873015873
lOdd-Ix,bnovelX,4,0.793650794
lOdd-Ix,bnovelX,5,0.841269841
lOdd-Ix,bnovelX,6,0.873015873
lOdd-Ix,bnovelX,7,0.841269841
lOdd-Ix,bnovelX,8,0.857142857
lOdd-Ix,bnovelX,9,0.857142857
lOdd-Ix,bnovelX,10,0.857142857
lOdd-Ix,bnovelX,11,0.841269841
lOdd-Ix,bnovelX,12,0.873015873
lOdd-Ix,bnovelX,13,0.873015873
lOdd-Ix,bnovelX,14,0.857142857
lOdd-Ix,bnovelX,15,0.857142857
lOdd-Ix,bnovelX,16,0.793650794
lOdd-Ix,bnovelX,17,0.841269841
lOdd-Ix,bnovelX,18,0.841269841
lOdd-Ix,bnovelX,19,0.793650794
lOdd-Ix,bnovelX,20,0.793650794
lOdd-Ix,bnovelX,21,0.841269841
lOdd-Ix,bnovelX,22,0.793650794
lOdd-Ix,bnovelX,23,0.841269841
lOdd-Ix,bnovelX,24,0.841269841
lOdd-Ix,bnovelX,25,0.825396825
lOdd-Ix,bnovelX,26,0.857142857
lOdd-Ix,bnovelX,27,0.857142857
lOdd-Ix,bnovelX,28,0.873015873
lOdd-Ix,bnovelX,29,0.841269841
lOdd-Ix,bnovelX,30,0.873015873
lOdd-Ix,bnovelX,31,0.873015873
lOdd-Ix,bnovelX,32,0.857142857
lOdd-Ix,bnovelX,33,0.857142857
lOdd-Ix,bnovelX,34,0.873015873
lOdd-Ix,bnovelX,35,0.857142857
lOdd-Ix,bnovelX,36,0.841269841
lOdd-Ix,bnovelX,37,0.793650794
lOdd-Ix,bnovelX,38,0.841269841
lOdd-Ix,bnovelX,39,0.873015873
lOdd-Ix,bnovelX,40,0.793650794
lOdd-Ix,bnovelX,41,0.825396825
lOdd-Ix,bnovelX,42,0.793650794
lOdd-Ix,bnovelX,43,0.793650794
lOdd-Ix,bnovelX,44,0.873015873
lOdd-Ix,bnovelX,45,0.825396825
lOdd-Ix,bnovelX,46,0.857142857
lOdd-Ix,bnovelX,47,0.841269841
lOdd-Ix,bnovelX,48,0.80952381
lOdd-Ix,bnovelX,49,0.873015873
mOdd-Iy,cnovelY,1,0.793650794
mOdd-Iy,cnovelY,2,0.793650794
mOdd-Iy,cnovelY,3,0.80952381
mOdd-Iy,cnovelY,4,0.793650794
mOdd-Iy,cnovelY,5,0.746031746
mOdd-Iy,cnovelY,6,0.793650794
mOdd-Iy,cnovelY,7,0.793650794
mOdd-Iy,cnovelY,8,0.793650794
mOdd-Iy,cnovelY,9,0.793650794
mOdd-Iy,cnovelY,10,0.80952381
mOdd-Iy,cnovelY,11,0.825396825
