population,deltaProp_male
aLHmX_Inn,0.042557704
aLHmX_Inn,0.030456101
aLHmX_Inn,0.011730184
aLHmX_Inn,-0.002085354
aLHmX_Inn,0.017041482
aLHmX_Inn,0.066908537
aLHmX_Inn,0.027093835
aLHmX_Inn,-0.013918062
aLHmX_Inn,0.063478058
aLHmX_Inn,0.007543361
aLHmX_Inn,0.040742949
aLHmX_Inn,0.048656747
aLHmX_Inn,0.033540179
aLHmX_Inn,0.023544731
aLHmX_Inn,0.027111723
aLHmX_Inn,-0.01024741
aLHmX_Inn,0.053572321
aLHmX_Inn,0.03609125
aLHmX_Inn,0.068100345
aLHmX_Inn,0.087747062
aLHmX_Inn,0.070278208
aLHmX_Inn,0.081204092
aLHmX_Inn,0.015165719
aLHmX_Inn,0.047295207
aLHmX_Inn,0.020210987
aLHmX_Inn,0.041239244
aLHmX_Inn,-0.007563409
aLHmX_Inn,0.031867819
aLHmX_Inn,0.054878349
aLHmX_Inn,0.029403919
aLHmX_Inn,-0.019940723
aLHmX_Inn,0.059226941
aLHmX_Inn,0.03732744
aLHmX_Inn,0.030997195
aLHmX_Inn,0.021301099
aLHmX_Inn,-0.021604673
aLHmX_Inn,0.070126227
aLHmX_Inn,0.055543937
aLHmX_Inn,0.038755144
aLHmX_Inn,0.02725881
aLHmX_Inn,0.015275676
aLHmX_Inn,0.036794541
aLHmX_Inn,0.033390134
aLHmX_Inn,0.063496624
aLHmX_Inn,0.007933274
aLHmX_Inn,0.040904212
aLHmX_Inn,0.029551164
aLHmX_Inn,0.00912589
aLHmX_Inn,0.053675317
aLHmX_Inn,0.037823615
aLHmX_Inn,0.036149752
aLHmX_Inn,0.025815643
aLHmX_Inn,0.068866923
aLHmX_Inn,0.04665717
aLHmX_Inn,0.016500509
aLHmX_Inn,0.052497887
aLHmX_Inn,0.038789373
aLHmX_Inn,0.039364623
aLHmX_Inn,0.031709587
aLHmX_Inn,0.023251538
aLHmX_Inn,0.02172141
aLHmX_Inn,-0.000380909
aLHmX_Inn,0.046684538
aLHmX_Inn,0.048077781
aLHmX_Inn,0.026165369
aLHmX_Inn,0.026488645
aLHmX_Inn,0.042029534
aLHmX_Inn,0.059181676
aLHmX_Inn,0.018776459
aLHmX_Inn,0.032986621
aLHmX_Inn,0.028422388
aLHmX_Inn,0.025719167
aLHmX_Inn,0.048350267
aLHmX_Inn,0.016255442
aLHmX_Inn,0.067808445
aLHmX_Inn,0.050259817
aLHmX_Inn,0.046205715
aLHmX_Inn,0.058497247
aLHmX_Inn,0.026238056
aLHmX_Inn,0.042561691
aLHmX_Inn,0.020757825
aLHmX_Inn,0.064667994
aLHmX_Inn,0.030638166
aLHmX_Inn,0.043816417
aLHmX_Inn,0.011000552
aLHmX_Inn,-0.00318709
aLHmX_Inn,0.040851845
aLHmX_Inn,0.032505943
aLHmX_Inn,0.003549908
aLHmX_Inn,0.026256104
aLHmX_Inn,0.048434845
aLHmX_Inn,0.031666843
aLHmX_Inn,0.053613605
aLHmX_Inn,0.022491493
aLHmX_Inn,0.039985471
aLHmX_Inn,0.039841377
aLHmX_Inn,0.011540848
aLHmX_Inn,0.024555307
aLHmX_Inn,0.017294765
aLHmX_Inn,0.045038085
aLHmX_Inn,0.011351389
aLHmX_Inn,0.025910406
aLHmX_Inn,0.00186347
aLHmX_Inn,-0.000978233
aLHmX_Inn,-0.025313164
aLHmX_Inn,0.053979169
aLHmX_Inn,-0.000439163
aLHmX_Inn,0.03207025
aLHmX_Inn,0.034191435
aLHmX_Inn,0.019456031
aLHmX_Inn,0.045203338
aLHmX_Inn,0.052982371
aLHmX_Inn,0.055181148
aLHmX_Inn,0.044627024
aLHmX_Inn,0.040301278
aLHmX_Inn,0.035962872
aLHmX_Inn,0.025521385
aLHmX_Inn,0.040987702
aLHmX_Inn,0.055873072
aLHmX_Inn,0.054884003
aLHmX_Inn,0.047968392
aLHmX_Inn,0.074939976
aLHmX_Inn,0.049856127
aLHmX_Inn,0.076365502
aLHmX_Inn,0.029185401
aLHmX_Inn,0.00692862
aLHmX_Inn,0.040378747
aLHmX_Inn,0.03128096
aLHmX_Inn,0.046543276
aLHmX_Inn,0.030582349
aLHmX_Inn,0.007359797
