population,deltaEggs
aInnY-LHm,-14.11296296
aInnY-LHm,-15.95185185
aInnY-LHm,-19.64259259
aInnY-LHm,-11.88518519
aInnY-LHm,-25.71481482
aInnY-LHm,-13.44074074
aInnY-LHm,-3.511111111
aInnY-LHm,-7.518518519
aInnY-LHm,-18.56481482
aInnY-LHm,-22.24814815
aInnY-LHm,-12.95185185
aInnY-LHm,-12.64444444
aInnY-LHm,-15.93703704
aInnY-LHm,-20.00555556
aInnY-LHm,-10.05740741
aInnY-LHm,-7.512962963
aInnY-LHm,-19.84074074
aInnY-LHm,-13.35740741
aInnY-LHm,-12.97037037
aInnY-LHm,-19.02777778
aInnY-LHm,-13.62407407
aInnY-LHm,-14.56481482
aInnY-LHm,-9.138888889
aInnY-LHm,-8.296296297
aInnY-LHm,-14.86111111
aInnY-LHm,1.266666667
aInnY-LHm,-16.42407407
aInnY-LHm,-10.60925926
aInnY-LHm,-15.06296296
aInnY-LHm,-12.08518519
aInnY-LHm,-11.67962963
aInnY-LHm,-16.62037037
aInnY-LHm,-18.32037037
aInnY-LHm,-16.66851852
aInnY-LHm,-14.70555556
aInnY-LHm,-8.133333333
aInnY-LHm,-12.31851852
aInnY-LHm,-21.47222222
aInnY-LHm,-10.78518519
aInnY-LHm,-5.711111111
aInnY-LHm,-10.33518519
aInnY-LHm,-9.211111111
aInnY-LHm,-14.68333333
aInnY-LHm,-20.7962963
aInnY-LHm,-13.00925926
aInnY-LHm,-14.41851852
aInnY-LHm,-21.55740741
aInnY-LHm,-16.61481482
aInnY-LHm,-14.15740741
aInnY-LHm,-16.26111111
aInnY-LHm,-8.657407408
aInnY-LHm,-13.90740741
aInnY-LHm,-6.855555556
aInnY-LHm,-25.84074074
aInnY-LHm,-19.36851852
aInnY-LHm,-5.546296297
aInnY-LHm,-4.907407408
aInnY-LHm,-9.185185186
aInnY-LHm,-15.20925926
aInnY-LHm,-11.39259259
aInnY-LHm,-13.02407407
aInnY-LHm,-3.8
aInnY-LHm,-6.627777778
aInnY-LHm,-7.151851852
aInnY-LHm,-12.77407407
aInnY-LHm,-17.51111111
aInnY-LHm,-13.61666667
aInnY-LHm,-7.827777778
aInnY-LHm,-12.58148148
aInnY-LHm,-11.07962963
aInnY-LHm,-12.84074074
aInnY-LHm,-17.00740741
aInnY-LHm,-12.15185185
aInnY-LHm,-17.4537037
aInnY-LHm,-7.383333333
aInnY-LHm,-12.4462963
aInnY-LHm,-15.9462963
aInnY-LHm,-25.68888889
aInnY-LHm,-13.47407407
aInnY-LHm,-21.19814815
aInnY-LHm,-11.40925926
aInnY-LHm,-10.49814815
aInnY-LHm,-9.611111111
aInnY-LHm,-8.235185186
aInnY-LHm,-14.03703704
aInnY-LHm,-7.077777778
aInnY-LHm,-27.61851852
aInnY-LHm,-15.44444444
aInnY-LHm,-14.07777778
aInnY-LHm,-5.62962963
aInnY-LHm,-14.61296296
aInnY-LHm,-15.02962963
aInnY-LHm,-17.8537037
aInnY-LHm,-21.63888889
aInnY-LHm,-14.3537037
aInnY-LHm,-13.23518519
aInnY-LHm,-15.57962963
aInnY-LHm,-12.00555556
aInnY-LHm,-6.712962963
aInnY-LHm,-4.083333333
aInnY-LHm,-11.6037037
aInnY-LHm,-10.17777778
aInnY-LHm,-12.56666667
aInnY-LHm,-12.03888889
aInnY-LHm,-9.95
aInnY-LHm,-17.42407407
aInnY-LHm,-17.3462963
aInnY-LHm,-15.61296296
aInnY-LHm,-23.72962963
aInnY-LHm,-10.0537037
aInnY-LHm,-12.74444444
aInnY-LHm,-7.646296297
aInnY-LHm,-16.22222222
aInnY-LHm,-20.29814815
aInnY-LHm,-22.76851852
aInnY-LHm,-19.41851852
aInnY-LHm,-20.6537037
aInnY-LHm,-14.30185185
aInnY-LHm,-16.51481482
aInnY-LHm,-23.93518519
aInnY-LHm,0.688888889
aInnY-LHm,-21.09074074
aInnY-LHm,-18.22407407
aInnY-LHm,-20.22777778
aInnY-LHm,-18.08333333
aInnY-LHm,-15.42777778
aInnY-LHm,-12.56851852
aInnY-LHm,-15.73333333
aInnY-LHm,-14.13703704
aInnY-LHm,-24.41111111
aInnY-LHm,-4.738888889
aInnY-LHm,-12.65555556
aInnY-LHm,-7.588888889
aInnY-LHm,-5.688888889
aInnY-LHm,-10.17777778
aInnY-LHm,-6.072222222
aInnY-LHm,-17.0462963
aInnY-LHm,-17.39444444
aInnY-LHm,-15.21296296
aInnY-LHm,-8.440740741
aInnY-LHm,-7.407407408
aInnY-LHm,-9.47962963
aInnY-LHm,-15.47962963
aInnY-LHm,-8.52962963
aInnY-LHm,-7.3
