rep_population,population,treatment,female,red,total
RP2,iOdd-Iy,cnovelY,10,9,11
RP2,iOdd-Iy,cnovelY,11,5,7
RP2,iOdd-Iy,cnovelY,12,16,17
RP2,iOdd-Iy,cnovelY,13,20,20
RP1,jOdd-Dx,bnovelX,1,12,12
RP1,jOdd-Dx,bnovelX,2,15,15
RP1,jOdd-Dx,bnovelX,3,NA,NA
RP1,jOdd-Dx,bnovelX,4,21,21
RP1,jOdd-Dx,bnovelX,5,22,22
RP1,jOdd-Dx,bnovelX,6,14,16
RP1,jOdd-Dx,bnovelX,7,17,17
RP1,jOdd-Dx,bnovelX,8,13,14
RP1,jOdd-Dx,bnovelX,9,27,27
RP1,jOdd-Dx,bnovelX,10,23,23
RP1,jOdd-Dx,bnovelX,11,14,14
RP1,jOdd-Dx,bnovelX,12,5,5
RP1,jOdd-Dx,bnovelX,13,12,13
RP1,jOdd-Dx,bnovelX,14,9,9
RP1,jOdd-Dx,bnovelX,15,11,11
RP1,jOdd-Dx,bnovelX,16,17,22
RP1,jOdd-Dx,bnovelX,17,17,19
RP1,jOdd-Dx,bnovelX,18,11,13
RP1,jOdd-Dx,bnovelX,19,23,25
RP2,jOdd-Dx,bnovelX,1,17,17
RP2,jOdd-Dx,bnovelX,2,10,11
RP2,jOdd-Dx,bnovelX,3,10,16
RP2,jOdd-Dx,bnovelX,4,24,28
RP2,jOdd-Dx,bnovelX,5,18,19
RP2,jOdd-Dx,bnovelX,6,12,12
RP2,jOdd-Dx,bnovelX,7,NA,NA
RP2,jOdd-Dx,bnovelX,8,16,17
RP2,jOdd-Dx,bnovelX,9,16,17
RP2,jOdd-Dx,bnovelX,10,18,18
RP2,jOdd-Dx,bnovelX,11,8,9
RP2,jOdd-Dx,bnovelX,12,7,17
RP2,jOdd-Dx,bnovelX,13,18,20
RP1,kOdd-Dy,cnovelY,1,11,12
RP1,kOdd-Dy,cnovelY,2,28,32
RP1,kOdd-Dy,cnovelY,3,10,10
RP1,kOdd-Dy,cnovelY,4,17,19
RP1,kOdd-Dy,cnovelY,5,15,15
RP1,kOdd-Dy,cnovelY,6,20,24
RP1,kOdd-Dy,cnovelY,7,25,27
RP1,kOdd-Dy,cnovelY,8,7,7
RP1,kOdd-Dy,cnovelY,9,11,15
RP1,kOdd-Dy,cnovelY,10,2,2
RP1,kOdd-Dy,cnovelY,11,1,1
RP1,kOdd-Dy,cnovelY,12,21,29
RP1,kOdd-Dy,cnovelY,13,1,1
RP1,kOdd-Dy,cnovelY,14,15,15
RP1,kOdd-Dy,cnovelY,15,4,11
RP1,kOdd-Dy,cnovelY,16,22,22
RP1,kOdd-Dy,cnovelY,17,17,17
RP1,kOdd-Dy,cnovelY,18,24,24
RP2,kOdd-Dy,cnovelY,1,15,17
RP2,kOdd-Dy,cnovelY,2,17,18
RP2,kOdd-Dy,cnovelY,3,26,26
RP2,kOdd-Dy,cnovelY,4,19,19
RP2,kOdd-Dy,cnovelY,5,4,4
RP2,kOdd-Dy,cnovelY,6,20,20
RP2,kOdd-Dy,cnovelY,7,19,20
RP2,kOdd-Dy,cnovelY,8,13,14
RP2,kOdd-Dy,cnovelY,9,NA,NA
RP2,kOdd-Dy,cnovelY,10,7,7
RP2,kOdd-Dy,cnovelY,11,1,9
RP2,kOdd-Dy,cnovelY,12,7,9
RP2,kOdd-Dy,cnovelY,13,18,18
RP1,lDahomey,awt,1,7,13
RP1,lDahomey,awt,2,7,15
RP1,lDahomey,awt,3,10,16
RP1,lDahomey,awt,4,19,24
RP1,lDahomey,awt,5,NA,NA
RP1,lDahomey,awt,6,10,12
RP1,lDahomey,awt,7,25,25
RP1,lDahomey,awt,8,14,14
RP1,lDahomey,awt,9,13,16
RP1,lDahomey,awt,10,8,8
RP1,lDahomey,awt,11,20,22
RP1,lDahomey,awt,12,21,23
RP1,lDahomey,awt,13,19,21
RP1,lDahomey,awt,14,20,22
RP1,lDahomey,awt,15,17,17
RP1,lDahomey,awt,16,NA,NA
RP1,lDahomey,awt,17,14,14
RP1,lDahomey,awt,18,12,28
RP1,lDahomey,awt,19,NA,NA
RP2,lDahomey,awt,1,4,4
RP2,lDahomey,awt,2,4,20
RP2,lDahomey,awt,3,20,20
RP2,lDahomey,awt,4,7,18
RP2,lDahomey,awt,5,NA,NA
RP2,lDahomey,awt,6,NA,NA
RP2,lDahomey,awt,7,21,22
RP2,lDahomey,awt,8,8,8
RP2,lDahomey,awt,9,8,10
