population,deltaProp_red
aLHmX_Inn,0.007152165
aLHmX_Inn,0.127174949
aLHmX_Inn,0.035738105
aLHmX_Inn,0.0999936
aLHmX_Inn,0.130541917
aLHmX_Inn,-0.007578751
aLHmX_Inn,0.095067238
aLHmX_Inn,-0.066088688
aLHmX_Inn,0.084875353
aLHmX_Inn,0.081871248
aLHmX_Inn,0.119383558
aLHmX_Inn,0.055788268
aLHmX_Inn,0.1131923
aLHmX_Inn,-0.020241411
aLHmX_Inn,0.000196314
aLHmX_Inn,0.08521894
aLHmX_Inn,0.048665599
aLHmX_Inn,0.099886758
aLHmX_Inn,-0.020700678
aLHmX_Inn,0.073581035
aLHmX_Inn,0.132447034
aLHmX_Inn,0.135780321
aLHmX_Inn,0.015300174
aLHmX_Inn,-0.002324959
aLHmX_Inn,-0.043952703
aLHmX_Inn,0.060458053
aLHmX_Inn,0.130014967
aLHmX_Inn,-0.012288428
aLHmX_Inn,0.04739723
aLHmX_Inn,0.044593714
aLHmX_Inn,-0.030081346
aLHmX_Inn,0.021399221
aLHmX_Inn,0.015689866
aLHmX_Inn,-0.035909571
aLHmX_Inn,0.145744733
aLHmX_Inn,0.10371619
aLHmX_Inn,0.050168699
aLHmX_Inn,0.124137978
aLHmX_Inn,0.03162649
aLHmX_Inn,0.131075195
aLHmX_Inn,0.07223675
aLHmX_Inn,0.10253507
aLHmX_Inn,-0.017692355
aLHmX_Inn,0.000334506
aLHmX_Inn,0.046430317
aLHmX_Inn,0.126863104
aLHmX_Inn,-0.005064556
aLHmX_Inn,0.079694289
aLHmX_Inn,0.144097316
aLHmX_Inn,0.034049895
aLHmX_Inn,0.013186436
aLHmX_Inn,0.080377437
aLHmX_Inn,-0.016847946
aLHmX_Inn,0.218150061
aLHmX_Inn,0.030097491
aLHmX_Inn,0.009400396
aLHmX_Inn,-0.080552736
aLHmX_Inn,0.108302033
aLHmX_Inn,0.036540025
aLHmX_Inn,0.048653192
aLHmX_Inn,0.095936587
aLHmX_Inn,0.140063585
aLHmX_Inn,0.121454745
aLHmX_Inn,-0.00720884
aLHmX_Inn,-0.081875056
aLHmX_Inn,0.000393983
aLHmX_Inn,-0.025557792
aLHmX_Inn,0.104135261
aLHmX_Inn,0.072857618
aLHmX_Inn,-0.016590192
aLHmX_Inn,0.072107717
aLHmX_Inn,0.036721612
aLHmX_Inn,0.055934968
aLHmX_Inn,0.105533429
aLHmX_Inn,0.02061006
aLHmX_Inn,-0.013713071
aLHmX_Inn,0.010113213
aLHmX_Inn,0.067181962
aLHmX_Inn,0.043335181
aLHmX_Inn,0.081050131
aLHmX_Inn,0.09896923
aLHmX_Inn,0.104973973
aLHmX_Inn,-0.018507639
aLHmX_Inn,0.107069589
aLHmX_Inn,0.134432913
aLHmX_Inn,-0.020348045
aLHmX_Inn,-0.038460464
aLHmX_Inn,-0.076280411
aLHmX_Inn,0.017070001
aLHmX_Inn,0.116964648
aLHmX_Inn,0.145670996
aLHmX_Inn,0.127404594
aLHmX_Inn,0.088658904
aLHmX_Inn,-0.006954713
aLHmX_Inn,0.105697698
aLHmX_Inn,0.174020388
aLHmX_Inn,-0.037607637
aLHmX_Inn,0.110434323
aLHmX_Inn,0.019936828
aLHmX_Inn,0.17527995
aLHmX_Inn,0.132503608
aLHmX_Inn,0.012102079
aLHmX_Inn,0.038750749
aLHmX_Inn,0.117117047
aLHmX_Inn,0.174317097
aLHmX_Inn,0.12122625
aLHmX_Inn,0.06409365
aLHmX_Inn,-0.000859066
aLHmX_Inn,0.081399385
aLHmX_Inn,0.021300267
aLHmX_Inn,0.052361117
aLHmX_Inn,0.068990561
aLHmX_Inn,0.040755976
aLHmX_Inn,0.186177012
aLHmX_Inn,0.03977188
aLHmX_Inn,0.05071664
aLHmX_Inn,-0.078404378
aLHmX_Inn,0.001316949
aLHmX_Inn,0.125915423
aLHmX_Inn,0.079766932
aLHmX_Inn,0.080983595
aLHmX_Inn,-0.014639237
aLHmX_Inn,0.066424307
aLHmX_Inn,0.165607153
aLHmX_Inn,0.000238499
aLHmX_Inn,-0.003388993
aLHmX_Inn,-0.038493925
aLHmX_Inn,0.005672103
aLHmX_Inn,0.152683828
aLHmX_Inn,0.121157274
aLHmX_Inn,0.12532998
aLHmX_Inn,0.015325048
aLHmX_Inn,0.018282629
aLHmX_Inn,0.051634594
aLHmX_Inn,-0.01715141
aLHmX_Inn,-0.008705981
aLHmX_Inn,0.113154176
aLHmX_Inn,-0.037659823
aLHmX_Inn,0.11003256
