population,treatment,vial,female,age,dead
iOdd-Ix,bnovelX,2,4,33,1
iOdd-Ix,bnovelX,2,5,37,1
iOdd-Ix,bnovelX,3,1,15,1
iOdd-Ix,bnovelX,3,2,26,1
iOdd-Ix,bnovelX,3,3,30,1
iOdd-Ix,bnovelX,3,4,31,1
iOdd-Ix,bnovelX,3,5,37,1
iOdd-Ix,bnovelX,4,1,5,1
iOdd-Ix,bnovelX,4,2,22,0
iOdd-Ix,bnovelX,4,3,31,1
iOdd-Ix,bnovelX,4,4,35,1
iOdd-Ix,bnovelX,4,5,37,1
iOdd-Ix,bnovelX,5,1,5,1
iOdd-Ix,bnovelX,5,2,24,0
iOdd-Ix,bnovelX,5,3,33,1
iOdd-Ix,bnovelX,5,4,33,1
iOdd-Ix,bnovelX,5,5,35,1
iOdd-Ix,bnovelX,6,1,22,0
iOdd-Ix,bnovelX,6,2,26,1
iOdd-Ix,bnovelX,6,3,33,1
iOdd-Ix,bnovelX,6,4,35,1
iOdd-Ix,bnovelX,6,5,37,1
iOdd-Ix,bnovelX,7,1,2,1
iOdd-Ix,bnovelX,7,2,2,1
iOdd-Ix,bnovelX,7,3,28,0
iOdd-Ix,bnovelX,7,4,30,1
iOdd-Ix,bnovelX,7,5,35,1
iOdd-Ix,bnovelX,8,1,15,1
iOdd-Ix,bnovelX,8,2,30,1
iOdd-Ix,bnovelX,8,3,30,1
iOdd-Ix,bnovelX,8,4,33,1
iOdd-Ix,bnovelX,8,5,35,1
iOdd-Ix,bnovelX,9,1,1,1
iOdd-Ix,bnovelX,9,2,1,1
iOdd-Ix,bnovelX,9,3,12,1
iOdd-Ix,bnovelX,9,4,12,1
iOdd-Ix,bnovelX,9,5,30,1
iOdd-Ix,bnovelX,10,1,7,1
iOdd-Ix,bnovelX,10,2,22,0
iOdd-Ix,bnovelX,10,3,22,0
iOdd-Ix,bnovelX,10,4,24,1
iOdd-Ix,bnovelX,10,5,35,1
jOdd-Iy,cnovelY,1,1,28,1
jOdd-Iy,cnovelY,1,2,30,1
jOdd-Iy,cnovelY,1,3,35,1
jOdd-Iy,cnovelY,1,4,35,1
jOdd-Iy,cnovelY,1,5,35,1
jOdd-Iy,cnovelY,2,1,5,1
jOdd-Iy,cnovelY,2,2,19,1
jOdd-Iy,cnovelY,2,3,26,1
jOdd-Iy,cnovelY,2,4,33,1
jOdd-Iy,cnovelY,2,5,33,1
jOdd-Iy,cnovelY,3,1,12,1
jOdd-Iy,cnovelY,3,2,33,1
jOdd-Iy,cnovelY,3,3,33,1
jOdd-Iy,cnovelY,3,4,35,1
jOdd-Iy,cnovelY,3,5,35,1
jOdd-Iy,cnovelY,4,1,5,1
jOdd-Iy,cnovelY,4,2,33,1
jOdd-Iy,cnovelY,4,3,35,1
jOdd-Iy,cnovelY,4,4,36,1
jOdd-Iy,cnovelY,4,5,37,1
jOdd-Iy,cnovelY,5,1,4,1
jOdd-Iy,cnovelY,5,2,8,1
jOdd-Iy,cnovelY,5,3,30,1
jOdd-Iy,cnovelY,5,4,32,1
jOdd-Iy,cnovelY,5,5,35,1
jOdd-Iy,cnovelY,6,1,8,1
jOdd-Iy,cnovelY,6,2,12,1
jOdd-Iy,cnovelY,6,3,19,1
jOdd-Iy,cnovelY,6,4,30,1
jOdd-Iy,cnovelY,6,5,35,1
jOdd-Iy,cnovelY,7,1,10,0
jOdd-Iy,cnovelY,7,2,23,0
jOdd-Iy,cnovelY,7,3,23,0
jOdd-Iy,cnovelY,7,4,25,1
jOdd-Iy,cnovelY,7,5,35,1
jOdd-Iy,cnovelY,8,1,22,0
jOdd-Iy,cnovelY,8,2,22,0
jOdd-Iy,cnovelY,8,3,23,1
jOdd-Iy,cnovelY,8,4,33,1
jOdd-Iy,cnovelY,8,5,35,1
jOdd-Iy,cnovelY,9,1,12,1
jOdd-Iy,cnovelY,9,2,22,0
jOdd-Iy,cnovelY,9,3,22,0
jOdd-Iy,cnovelY,9,4,23,0
jOdd-Iy,cnovelY,9,5,26,1
jOdd-Iy,cnovelY,10,1,12,1
jOdd-Iy,cnovelY,10,2,19,1
jOdd-Iy,cnovelY,10,3,26,1
jOdd-Iy,cnovelY,10,4,35,1
jOdd-Iy,cnovelY,10,5,37,1
kOdd-Dx,bnovelX,1,1,5,1
kOdd-Dx,bnovelX,1,2,5,1
kOdd-Dx,bnovelX,1,3,19,1
kOdd-Dx,bnovelX,1,4,22,0
kOdd-Dx,bnovelX,1,5,29,1
kOdd-Dx,bnovelX,2,1,19,1
kOdd-Dx,bnovelX,2,2,19,1
kOdd-Dx,bnovelX,2,3,22,0
kOdd-Dx,bnovelX,2,4,24,1
kOdd-Dx,bnovelX,2,5,33,1
kOdd-Dx,bnovelX,3,1,26,1
kOdd-Dx,bnovelX,3,2,26,0
kOdd-Dx,bnovelX,3,3,29,1
kOdd-Dx,bnovelX,3,4,30,1
kOdd-Dx,bnovelX,3,5,33,1
kOdd-Dx,bnovelX,4,1,5,1
kOdd-Dx,bnovelX,4,2,23,1
kOdd-Dx,bnovelX,4,3,29,1
kOdd-Dx,bnovelX,4,4,29,1
kOdd-Dx,bnovelX,4,5,33,1
kOdd-Dx,bnovelX,5,1,22,0
kOdd-Dx,bnovelX,5,2,24,1
kOdd-Dx,bnovelX,5,3,26,1
kOdd-Dx,bnovelX,5,4,36,1
kOdd-Dx,bnovelX,5,5,37,1
kOdd-Dx,bnovelX,6,1,7,1
kOdd-Dx,bnovelX,6,2,19,1
kOdd-Dx,bnovelX,6,3,26,1
kOdd-Dx,bnovelX,6,4,29,1
kOdd-Dx,bnovelX,6,5,31,1
kOdd-Dx,bnovelX,7,1,5,1
kOdd-Dx,bnovelX,7,2,26,1
kOdd-Dx,bnovelX,7,3,26,1
kOdd-Dx,bnovelX,7,4,26,1
kOdd-Dx,bnovelX,7,5,26,1
kOdd-Dx,bnovelX,8,1,5,1
kOdd-Dx,bnovelX,8,2,19,1
kOdd-Dx,bnovelX,8,3,19,1
kOdd-Dx,bnovelX,8,4,33,1
kOdd-Dx,bnovelX,8,5,35,1
kOdd-Dx,bnovelX,9,1,22,0
kOdd-Dx,bnovelX,9,2,26,1
kOdd-Dx,bnovelX,9,3,29,1
kOdd-Dx,bnovelX,9,4,30,1
kOdd-Dx,bnovelX,9,5,33,1
kOdd-Dx,bnovelX,10,1,24,1
kOdd-Dx,bnovelX,10,2,24,1
kOdd-Dx,bnovelX,10,3,26,1
kOdd-Dx,bnovelX,10,4,30,1
kOdd-Dx,bnovelX,10,5,33,1
lOdd-Dy,cnovelY,1,1,1,1
lOdd-Dy,cnovelY,1,2,20,1
lOdd-Dy,cnovelY,1,3,30,1
lOdd-Dy,cnovelY,1,4,31,1
lOdd-Dy,cnovelY,1,5,32,1
lOdd-Dy,cnovelY,2,1,1,1
lOdd-Dy,cnovelY,2,2,3,1
lOdd-Dy,cnovelY,2,3,19,1
lOdd-Dy,cnovelY,2,4,19,1
lOdd-Dy,cnovelY,2,5,22,0
lOdd-Dy,cnovelY,3,1,12,1
lOdd-Dy,cnovelY,3,2,32,1
lOdd-Dy,cnovelY,3,3,35,1
lOdd-Dy,cnovelY,3,4,35,1
lOdd-Dy,cnovelY,3,5,36,1
lOdd-Dy,cnovelY,4,1,5,1
lOdd-Dy,cnovelY,4,2,9,1
