population,deltaProp_eclose
aLHmX_Inn,-0.038611111
aLHmX_Inn,-0.038333333
aLHmX_Inn,-0.033055556
aLHmX_Inn,-0.038928571
aLHmX_Inn,-0.048777778
aLHmX_Inn,-0.008831169
aLHmX_Inn,-0.032954545
aLHmX_Inn,-0.039722222
aLHmX_Inn,-0.023333333
aLHmX_Inn,-0.01375
aLHmX_Inn,-0.010568182
aLHmX_Inn,-0.027666667
aLHmX_Inn,-0.031272727
aLHmX_Inn,-0.035
aLHmX_Inn,-0.031944444
aLHmX_Inn,-0.001636364
aLHmX_Inn,-0.028030303
aLHmX_Inn,-0.069393939
aLHmX_Inn,-0.05375
aLHmX_Inn,-0.051909091
aLHmX_Inn,0.006363636
aLHmX_Inn,-0.044545455
aLHmX_Inn,-0.016666667
aLHmX_Inn,-0.027380952
aLHmX_Inn,0.008787879
aLHmX_Inn,-0.01
aLHmX_Inn,-0.005
aLHmX_Inn,0.004
aLHmX_Inn,-0.042424242
aLHmX_Inn,-0.004285714
aLHmX_Inn,-0.037
aLHmX_Inn,-0.03
aLHmX_Inn,-0.032857143
aLHmX_Inn,-0.045666667
aLHmX_Inn,-0.082337662
aLHmX_Inn,0.015
aLHmX_Inn,-0.032083333
aLHmX_Inn,-0.054722222
aLHmX_Inn,-0.033090909
aLHmX_Inn,-0.010833333
aLHmX_Inn,-0.008636364
aLHmX_Inn,-0.030795455
aLHmX_Inn,-0.003888889
aLHmX_Inn,-0.044
aLHmX_Inn,-0.014166667
aLHmX_Inn,-0.012555556
aLHmX_Inn,-0.02047619
aLHmX_Inn,-0.037460317
aLHmX_Inn,-0.032777778
aLHmX_Inn,-0.0725
aLHmX_Inn,0.004545455
aLHmX_Inn,-0.066666667
aLHmX_Inn,0.004
aLHmX_Inn,-0.038
aLHmX_Inn,-0.012525253
aLHmX_Inn,-0.024333333
aLHmX_Inn,-0.013636364
aLHmX_Inn,-0.005416667
aLHmX_Inn,0.023222222
aLHmX_Inn,-0.020222222
aLHmX_Inn,-0.037878788
aLHmX_Inn,-0.024545455
aLHmX_Inn,-0.01825
aLHmX_Inn,-0.014545455
aLHmX_Inn,-0.040833333
aLHmX_Inn,-0.033333333
aLHmX_Inn,-0.065606061
aLHmX_Inn,-0.004166667
aLHmX_Inn,-0.033636364
aLHmX_Inn,-0.001818182
aLHmX_Inn,-0.027222222
aLHmX_Inn,-0.001212121
aLHmX_Inn,0.028888889
aLHmX_Inn,-0.022323232
aLHmX_Inn,-0.035416667
aLHmX_Inn,-0.041636364
aLHmX_Inn,-0.032121212
aLHmX_Inn,-0.038522727
aLHmX_Inn,-0.05
aLHmX_Inn,-0.02375
aLHmX_Inn,-0.02725
